Year;Month;Day;Hour;Minute;Temperature daily mean;Relative humidity daily mean;Mean Sea Level Pressure daily mean;Total Precipitation daily sum;Snowfall amount daily sum;Total cloud cover daily mean;Shortwave Radiation daily sum;Wind speed daily mean;Wind direction daily mean;Temperature daily max;Temperature daily min;Relative humidity daily max;Relative humidity daily min;Mean Sea Level Pressure daily max;Mean Sea Level Pressure daily min;Total cloud cover daily max;Total cloud cover daily min;Wind speed daily max;Wind speed daily min
2016;01;01;00;00;6.88;84.88;1025.84;0.00;0.00;78.28;1720.37;11.96;171.78;8.60;5.58;97.00;75.00;1029.60;1019.20;100.00;0.00;19.81;4.68
2016;01;02;00;00;5.76;86.71;1015.26;6.30;0.00;85.62;430.76;14.58;154.79;8.15;3.84;94.00;75.00;1018.20;1013.60;100.00;0.00;22.48;6.38
2016;01;03;00;00;6.70;71.88;1009.49;0.70;0.00;83.21;1505.88;14.85;223.16;9.71;4.22;84.00;56.00;1014.40;998.90;100.00;13.00;19.39;5.60
2016;01;04;00;00;6.63;76.50;995.54;12.50;0.00;67.21;1683.88;22.79;236.34;8.43;4.40;84.00;67.00;997.80;993.70;100.00;0.00;30.01;12.89
2016;01;05;00;00;5.82;78.33;996.87;5.20;0.00;66.71;1456.04;14.31;209.92;8.75;2.88;95.00;65.00;999.60;994.40;100.00;0.00;24.40;6.92
2016;01;06;00;00;5.61;77.42;1000.65;0.70;0.00;66.88;1496.98;11.85;215.72;8.89;2.35;87.00;61.00;1003.60;999.30;100.00;0.00;18.21;5.00
2016;01;07;00;00;5.30;83.88;1001.44;7.50;0.00;75.16;446.78;17.62;202.09;9.89;1.96;90.00;74.00;1005.60;994.00;100.00;0.00;34.71;7.15
2016;01;08;00;00;6.95;82.42;1007.33;1.70;0.00;90.62;1683.88;13.71;183.27;10.99;4.10;93.00;57.00;1010.60;1003.80;100.00;10.00;23.89;2.04
2016;01;09;00;00;8.53;88.54;1003.79;7.10;0.00;80.96;1193.49;6.75;189.64;12.18;6.85;97.00;74.00;1006.70;1001.70;100.00;0.00;15.07;1.44
2016;01;10;00;00;8.16;77.00;999.18;4.10;0.00;74.33;1035.07;17.80;221.65;9.87;5.92;93.00;61.00;1001.50;995.30;100.00;0.00;33.63;6.52
2016;01;11;00;00;7.03;80.29;994.45;15.30;0.00;79.29;1393.74;21.06;217.06;9.48;4.99;95.00;65.00;999.30;991.70;100.00;0.00;35.23;3.96
2016;01;12;00;00;5.60;76.38;1001.49;3.80;0.00;33.96;1949.10;34.75;252.46;7.43;4.06;82.00;71.00;1008.70;995.90;100.00;0.00;48.20;24.38
2016;01;13;00;00;3.08;78.42;1016.81;0.20;0.28;72.08;1377.72;34.72;255.48;4.61;1.69;83.00;74.00;1021.70;1009.60;100.00;5.00;49.36;12.31
2016;01;14;00;00;1.24;82.25;1012.78;2.10;0.63;49.08;1060.88;16.81;182.92;5.01;-1.65;93.00;54.00;1020.60;1007.90;100.00;0.00;32.86;7.10
2016;01;15;00;00;1.65;79.96;1013.17;3.60;0.21;74.25;1505.88;40.53;268.79;4.02;-0.03;92.00;62.00;1015.70;1011.10;100.00;0.00;53.00;33.81
2016;01;16;00;00;1.23;82.17;1022.27;0.90;0.70;86.83;1207.73;21.68;300.99;3.31;-0.81;93.00;62.00;1025.50;1016.10;100.00;16.00;37.17;12.52
2016;01;17;00;00;-0.17;75.67;1025.57;1.30;0.98;42.33;1421.33;22.96;291.22;2.09;-2.57;95.00;52.00;1027.50;1023.40;100.00;0.00;36.46;5.15
2016;01;18;00;00;-1.69;69.71;1020.17;0.00;0.00;50.31;2136.89;17.39;119.73;1.82;-4.89;84.00;50.00;1027.20;1014.20;100.00;0.00;31.35;12.40
2016;01;19;00;00;2.48;82.79;1014.49;3.10;0.98;100.00;1545.93;9.33;134.58;5.96;-0.19;93.00;68.00;1015.60;1013.10;100.00;100.00;16.92;0.00
2016;01;20;00;00;2.65;85.83;1018.37;1.00;0.00;71.50;1982.03;7.00;313.94;3.95;0.68;96.00;74.00;1022.80;1015.40;100.00;1.00;16.17;0.51
2016;01;21;00;00;0.94;79.50;1025.12;0.00;0.00;39.67;2224.11;4.95;112.24;4.47;-1.11;96.00;57.00;1027.90;1022.50;100.00;0.00;10.83;0.00
2016;01;22;00;00;1.66;76.96;1028.76;0.10;0.00;29.79;2322.90;9.01;120.21;5.85;-1.86;87.00;56.00;1030.00;1027.50;100.00;0.00;13.85;4.02
2016;01;23;00;00;6.51;84.75;1033.86;5.80;0.00;51.66;2157.36;12.78;229.37;9.16;2.71;96.00;74.00;1037.90;1028.60;100.00;0.00;21.25;5.09
2016;01;24;00;00;5.14;78.04;1035.41;0.00;0.00;57.04;2276.62;7.34;123.61;10.35;0.39;98.00;65.00;1038.10;1033.40;100.00;5.00;14.90;1.80
2016;01;25;00;00;8.19;59.17;1030.53;0.00;0.00;0.29;2278.40;5.47;108.16;12.21;4.59;72.00;40.00;1033.50;1028.90;3.60;0.00;9.11;3.26
2016;01;26;00;00;9.04;69.38;1030.05;0.00;0.00;24.18;2299.76;5.86;126.95;12.72;6.06;88.00;42.00;1032.30;1027.90;100.00;0.00;9.50;1.30
2016;01;27;00;00;10.18;77.12;1025.99;0.00;0.00;70.24;2080.82;6.43;143.44;14.00;5.82;84.00;60.00;1028.70;1021.90;100.00;2.70;9.22;0.80
2016;01;28;00;00;10.94;76.12;1025.48;3.10;0.00;94.15;1129.41;9.72;221.30;13.23;9.08;97.00;54.00;1027.90;1021.50;100.00;16.50;22.91;1.30
2016;01;29;00;00;8.39;85.62;1031.50;1.90;0.00;48.38;2302.43;8.76;273.57;10.43;6.98;97.00;76.00;1033.90;1028.30;100.00;0.00;15.83;5.09
2016;01;30;00;00;8.05;71.25;1024.11;1.30;0.00;68.72;1826.28;18.52;226.67;12.26;4.40;84.00;52.00;1031.00;1016.50;100.00;0.30;40.55;3.67
2016;01;31;00;00;9.17;82.00;1017.18;11.20;0.00;99.04;1159.67;22.63;254.23;12.30;5.82;90.00;72.00;1019.30;1014.10;100.00;77.00;36.71;5.50
2016;02;01;00;00;11.58;75.29;1025.27;0.00;0.00;49.32;2508.91;25.17;259.72;13.44;9.88;83.00;65.00;1029.20;1017.90;100.00;2.10;35.45;14.83
2016;02;02;00;00;11.00;73.79;1023.61;0.00;0.00;83.21;2328.24;18.57;255.85;13.65;9.00;84.00;62.00;1028.20;1019.60;100.00;11.00;28.93;8.89
2016;02;03;00;00;5.51;78.38;1022.69;7.60;0.00;84.83;1045.75;20.35;272.43;10.58;2.85;85.00;66.00;1027.00;1020.10;100.00;0.00;31.29;9.18
2016;02;04;00;00;4.30;81.83;1028.12;1.00;0.00;91.54;1151.66;28.65;264.18;6.52;2.60;89.00;63.00;1031.80;1024.70;100.00;19.00;46.90;18.72
2016;02;05;00;00;8.55;82.25;1026.41;0.00;0.00;54.63;2516.03;11.79;226.56;12.53;5.03;91.00;62.00;1028.30;1023.20;100.00;0.00;28.45;1.08
2016;02;06;00;00;6.68;77.29;1017.00;0.00;0.00;24.23;2793.71;11.16;134.66;15.20;0.70;97.00;41.00;1023.30;1009.10;90.00;3.30;16.61;4.90
2016;02;07;00;00;4.37;85.17;1006.18;5.90;0.00;80.12;708.44;13.17;182.08;7.27;0.92;96.00;76.00;1011.30;1000.80;100.00;12.00;27.00;3.56
2016;02;08;00;00;7.45;67.58;1006.08;0.40;0.00;56.42;2857.79;31.55;224.95;12.41;2.83;80.00;56.00;1011.30;1001.50;100.00;0.00;47.97;8.12
2016;02;09;00;00;8.82;68.58;998.20;2.60;0.00;84.60;1711.47;35.41;236.33;11.72;4.14;83.00;57.00;1007.40;988.40;100.00;4.00;56.33;12.74
2016;02;10;00;00;3.16;75.29;999.65;0.90;0.00;67.92;2449.28;39.45;257.90;6.20;1.08;87.00;60.00;1005.70;994.40;100.00;0.00;53.10;27.32
2016;02;11;00;00;3.48;73.17;1007.20;0.10;0.00;44.88;2894.28;15.38;233.42;7.11;0.25;93.00;54.00;1008.30;1005.40;100.00;0.00;29.02;2.60
2016;02;12;00;00;4.08;74.25;1002.39;3.20;0.14;69.67;2190.29;10.22;177.14;7.74;0.40;92.00;51.00;1009.10;993.20;100.00;6.00;23.36;2.74
2016;02;13;00;00;6.27;77.38;992.17;1.90;0.00;83.50;1615.35;22.38;245.19;9.82;2.47;91.00;60.00;996.20;986.40;100.00;4.00;43.85;2.81
2016;02;14;00;00;6.18;78.25;991.12;5.40;0.00;82.25;1385.73;17.84;254.45;8.40;5.04;89.00;72.00;997.40;987.80;100.00;3.00;40.73;8.09
2016;02;15;00;00;3.63;81.04;1008.72;0.90;0.00;73.83;2482.21;15.96;301.93;5.18;1.98;95.00;67.00;1020.90;997.60;100.00;10.00;22.03;6.41
2016;02;16;00;00;3.63;75.88;1027.00;0.00;0.00;54.38;2984.17;18.36;76.82;7.74;0.77;96.00;55.00;1028.90;1021.60;100.00;0.00;25.96;9.83
2016;02;17;00;00;2.18;80.21;1020.57;0.00;0.00;73.21;2961.03;9.24;289.12;6.08;-1.32;96.00;62.00;1026.50;1015.30;100.00;0.00;14.49;5.86
2016;02;18;00;00;4.75;74.33;1016.46;0.00;0.00;46.00;3289.44;8.90;162.12;10.57;0.79;94.00;48.00;1018.30;1013.90;100.00;0.00;13.53;4.02
2016;02;19;00;00;4.51;77.25;1022.18;2.60;0.00;69.79;2521.37;13.08;264.94;6.26;2.65;93.00;57.00;1027.90;1016.20;100.00;6.00;24.28;1.14
2016;02;20;00;00;5.42;71.50;1024.85;1.20;0.00;79.67;722.68;25.12;232.31;9.87;1.45;76.00;63.00;1028.00;1021.80;100.00;0.00;39.63;11.09
2016;02;21;00;00;11.82;72.62;1022.57;0.10;0.00;73.83;2915.64;26.31;247.50;14.55;10.09;78.00;66.00;1023.70;1019.80;100.00;0.00;38.16;6.76
2016;02;22;00;00;11.57;73.62;1016.11;0.00;0.00;36.55;3521.73;16.77;265.92;15.22;8.71;86.00;60.00;1020.40;1013.00;100.00;0.00;27.72;5.69
2016;02;23;00;00;7.97;80.46;1014.70;11.10;0.00;69.53;1237.99;18.80;274.59;11.16;3.29;90.00;67.00;1020.10;1012.30;100.00;0.30;31.62;4.32
2016;02;24;00;00;3.80;79.21;1017.82;2.40;0.00;39.85;3341.06;9.43;145.59;8.74;-0.51;95.00;53.00;1021.70;1012.40;100.00;0.00;14.93;5.15
2016;02;25;00;00;3.38;85.08;1012.00;7.80;1.19;97.92;1932.19;13.07;124.60;5.50;1.98;94.00;69.00;1016.20;1009.10;100.00;70.00;22.33;3.32
2016;02;26;00;00;3.16;73.00;1011.67;0.00;0.00;46.88;3902.65;11.87;111.94;7.78;-0.36;100.00;49.00;1016.30;1006.40;100.00;2.70;22.07;0.51
2016;02;27;00;00;4.70;73.17;1003.42;0.00;0.00;54.79;3817.21;9.80;93.39;11.08;0.93;90.00;54.00;1006.10;1001.20;100.00;0.90;14.66;2.41
2016;02;28;00;00;4.20;84.92;1005.10;0.00;0.00;96.92;2924.54;10.81;316.69;9.45;-0.23;95.00;68.00;1008.20;1003.20;100.00;30.00;18.09;6.15
2016;02;29;00;00;2.70;90.96;1011.25;14.00;0.98;100.00;579.39;23.42;320.60;4.66;0.72;96.00;85.00;1019.00;1007.20;100.00;100.00;30.24;18.42
2016;03;01;00;00;3.59;73.71;1020.92;2.40;0.49;83.08;3728.21;18.11;287.08;7.65;0.35;95.00;45.00;1023.50;1016.90;100.00;0.90;28.84;9.18
2016;03;02;00;00;6.77;75.75;1007.20;7.80;0.00;82.25;1792.46;27.66;249.33;10.11;3.67;81.00;69.00;1015.50;1002.20;100.00;0.00;37.21;16.64
2016;03;03;00;00;3.65;82.00;1001.58;5.70;0.00;78.00;1527.24;24.54;272.46;5.35;1.70;89.00;73.00;1007.80;997.40;100.00;0.00;35.64;9.50
2016;03;04;00;00;4.13;74.62;999.20;3.20;0.00;79.73;1028.84;22.57;196.48;8.34;-0.15;95.00;58.00;1008.50;992.90;100.00;1.00;38.54;9.03
2016;03;05;00;00;5.40;74.67;994.00;6.70;0.00;82.92;1520.12;11.88;186.74;7.63;1.52;86.00;64.00;996.50;991.70;100.00;0.00;21.79;0.00
2016;03;06;00;00;2.68;80.83;1001.16;7.20;3.15;81.54;2783.92;24.09;250.59;5.25;-0.23;95.00;65.00;1005.30;996.20;100.00;7.00;42.96;3.55
2016;03;07;00;00;3.49;69.62;1003.81;1.80;0.70;80.96;2985.95;11.60;214.29;6.84;0.10;89.00;48.00;1006.30;1001.40;100.00;35.00;24.50;2.55
2016;03;08;00;00;2.94;77.17;1014.00;2.90;0.56;67.38;2730.52;9.48;281.69;5.57;0.29;91.00;62.00;1019.40;1006.50;100.00;0.00;18.21;2.41
2016;03;09;00;00;3.80;65.33;1010.82;0.00;0.00;23.47;4638.68;13.30;150.81;9.21;-1.01;86.00;41.00;1018.90;1004.30;100.00;0.00;25.08;5.40
2016;03;10;00;00;5.16;71.33;1014.90;0.00;0.00;20.88;4301.37;7.38;121.24;11.45;1.22;96.00;51.00;1020.60;1009.60;100.00;0.00;19.01;2.74
2016;03;11;00;00;4.96;78.62;1022.41;0.00;0.00;59.08;4007.67;8.40;190.57;11.40;0.74;95.00;47.00;1025.00;1020.60;100.00;0.00;18.85;0.00
2016;03;12;00;00;4.96;76.29;1026.10;0.00;0.00;51.67;3611.62;10.35;165.97;10.74;-0.22;96.00;54.00;1028.10;1024.20;100.00;0.00;21.46;1.80
2016;03;13;00;00;7.02;68.71;1025.88;0.00;0.00;36.08;4647.58;18.86;56.46;11.18;3.34;90.00;49.00;1027.30;1024.00;100.00;0.00;33.18;5.86
2016;03;14;00;00;6.35;66.12;1026.47;0.00;0.00;22.08;4815.79;15.87;82.47;11.78;2.62;81.00;49.00;1028.90;1023.90;100.00;0.00;23.44;9.83
2016;03;15;00;00;3.31;80.75;1024.31;1.90;1.33;74.22;3583.14;9.71;244.21;9.88;-0.97;96.00;59.00;1027.40;1020.70;100.00;0.00;24.59;1.08
2016;03;16;00;00;5.33;62.21;1019.52;0.00;0.00;4.62;4761.50;24.89;88.38;11.95;0.61;83.00;38.00;1022.20;1016.50;100.00;0.00;34.83;12.77
2016;03;17;00;00;5.35;75.54;1024.88;0.00;0.00;2.21;5006.25;7.32;216.07;11.11;-0.01;90.00;54.00;1027.50;1022.90;17.00;0.00;18.25;1.80
2016;03;18;00;00;8.12;72.58;1021.06;0.00;0.00;11.46;5032.95;6.36;230.88;13.90;2.64;93.00;51.00;1023.50;1018.00;100.00;0.00;12.66;2.60
2016;03;19;00;00;8.12;74.42;1018.93;0.00;0.00;0.12;5092.58;8.32;269.55;12.52;4.20;91.00;63.00;1020.00;1017.30;3.00;0.00;18.90;0.80
2016;03;20;00;00;6.61;82.21;1018.17;0.00;0.00;59.04;4447.33;8.58;272.43;11.66;3.62;95.00;60.00;1020.40;1015.70;100.00;0.00;16.26;1.02
2016;03;21;00;00;6.48;79.46;1017.58;0.00;0.00;77.42;3640.99;8.98;234.76;11.39;3.24;92.00;60.00;1019.10;1015.60;100.00;0.00;18.39;0.00
2016;03;22;00;00;6.64;73.71;1013.17;0.00;0.00;41.07;4566.59;7.26;174.59;12.35;1.53;96.00;46.00;1016.60;1008.90;100.00;0.00;20.39;0.36
2016;03;23;00;00;5.22;77.67;1010.07;1.10;0.00;60.08;3922.23;11.14;203.51;10.02;-0.18;95.00;63.00;1012.50;1008.20;100.00;0.00;25.41;1.61
2016;03;24;00;00;6.72;72.25;1015.59;0.00;0.00;53.30;4927.04;9.63;316.35;11.53;2.03;95.00;50.00;1017.50;1012.30;100.00;0.00;12.59;6.62
2016;03;25;00;00;8.31;74.42;1016.96;6.70;0.00;100.00;1528.13;15.20;244.89;10.06;6.42;83.00;69.00;1018.10;1016.00;100.00;100.00;25.72;5.40
2016;03;26;00;00;10.70;71.21;1017.83;1.00;0.00;30.31;5311.52;10.69;185.77;16.80;6.51;90.00;41.00;1020.30;1014.20;100.00;0.00;20.24;2.31
2016;03;27;00;00;9.34;66.83;1014.55;2.20;0.00;60.89;3135.47;11.66;213.66;12.50;4.14;92.00;52.00;1017.60;1010.80;100.00;0.00;24.61;1.61
2016;03;28;00;00;9.08;68.04;1009.74;0.00;0.00;43.75;3886.63;21.38;188.70;13.97;2.51;94.00;52.00;1014.60;1006.30;100.00;0.00;39.47;8.71
2016;03;29;00;00;10.73;64.75;1012.55;3.80;0.00;49.96;2974.38;18.66;259.69;14.55;6.85;91.00;53.00;1015.10;1008.70;100.00;0.00;32.05;1.44
2016;03;30;00;00;13.37;74.54;1011.93;7.70;0.00;89.33;3625.86;11.05;191.27;17.85;9.48;95.00;56.00;1014.40;1009.70;100.00;18.00;20.42;3.89
2016;03;31;00;00;14.44;66.75;1006.44;0.00;0.00;40.12;5371.15;14.86;126.07;22.98;5.10;96.00;41.00;1010.40;1001.30;100.00;2.00;23.68;6.79
2016;04;01;00;00;10.27;81.12;1011.67;0.00;0.00;52.94;3794.96;11.68;284.75;13.74;7.98;97.00;56.00;1017.50;1003.10;100.00;0.00;26.76;0.00
2016;04;02;00;00;13.12;74.88;1014.90;0.00;0.00;29.50;5374.71;11.23;103.81;20.91;5.89;91.00;54.00;1017.10;1012.40;100.00;0.00;18.67;5.00
2016;04;03;00;00;16.23;65.54;1012.02;0.00;0.00;98.79;4445.55;10.92;200.71;20.82;11.12;79.00;50.00;1015.30;1008.40;100.00;79.00;16.24;4.39
2016;04;04;00;00;14.95;68.83;1008.39;0.90;0.00;66.34;5095.25;7.08;212.42;17.87;11.91;79.00;59.00;1010.90;1005.90;100.00;1.50;12.56;2.04
2016;04;05;00;00;12.71;81.79;1007.98;5.20;0.00;79.58;3468.33;7.05;236.11;15.36;10.07;97.00;65.00;1010.60;1005.30;100.00;5.40;18.28;2.10
2016;04;06;00;00;11.89;77.46;1014.04;5.10;0.00;59.88;3966.73;11.25;275.24;15.47;8.59;97.00;60.00;1016.40;1011.70;100.00;0.00;18.84;4.68
2016;04;07;00;00;8.46;70.92;1013.70;1.30;0.00;87.50;3406.92;15.57;274.04;10.78;6.30;87.00;58.00;1015.60;1012.10;100.00;0.00;22.68;8.56
2016;04;08;00;00;8.07;73.79;1011.31;1.80;0.00;100.00;3064.27;6.09;209.46;11.26;5.27;89.00;56.00;1014.30;1007.90;100.00;100.00;10.37;1.08
2016;04;09;00;00;9.73;67.92;1007.46;0.00;0.00;91.58;4514.97;7.78;306.22;12.29;6.17;84.00;54.00;1009.10;1005.90;100.00;1.00;13.66;3.10
2016;04;10;00;00;11.36;63.00;1009.32;0.00;0.00;15.68;6375.07;9.76;134.55;16.89;5.74;76.00;45.00;1010.80;1008.00;100.00;0.90;16.75;2.97
2016;04;11;00;00;12.49;67.25;1010.33;0.10;0.00;7.67;6099.17;7.90;163.37;18.59;5.76;86.00;49.00;1011.70;1008.80;78.00;0.00;11.75;2.55
2016;04;12;00;00;13.95;63.96;1010.33;1.00;0.00;24.17;6234.45;7.95;150.00;19.25;8.97;81.00;40.00;1012.90;1007.20;100.00;0.00;16.42;0.80
2016;04;13;00;00;11.81;78.17;1008.76;7.30;0.00;91.62;2548.96;12.89;226.87;14.03;9.38;94.00;66.00;1011.40;1006.40;100.00;1.00;22.46;1.44
2016;04;14;00;00;11.66;70.25;1012.90;2.20;0.00;62.24;5225.19;10.92;212.89;16.27;7.57;89.00;49.00;1015.00;1011.00;100.00;4.80;18.06;2.10
2016;04;15;00;00;12.05;72.79;1009.16;2.60;0.00;93.17;3185.31;12.91;200.28;15.99;7.97;93.00;54.00;1011.80;1006.90;100.00;33.00;24.93;4.10
2016;04;16;00;00;13.86;72.21;1005.70;5.40;0.00;91.21;2936.11;14.13;189.81;17.83;10.17;94.00;49.00;1007.60;1003.00;100.00;22.00;27.80;2.28
2016;04;17;00;00;10.57;81.42;1007.94;7.90;0.00;96.33;2885.38;18.30;262.06;14.84;6.05;93.00;63.00;1015.10;1001.30;100.00;12.00;34.41;5.99
2016;04;18;00;00;7.65;83.62;1019.93;12.10;0.00;91.96;2645.97;11.66;291.68;9.86;6.09;94.00;67.00;1024.50;1015.70;100.00;0.00;23.22;1.08
2016;04;19;00;00;9.49;65.50;1026.07;0.00;0.00;0.00;6869.02;5.98;200.50;15.31;4.60;90.00;47.00;1027.80;1024.10;0.00;0.00;13.68;1.08
2016;04;20;00;00;11.41;67.46;1025.42;0.00;0.00;1.97;6968.70;12.70;106.56;18.94;3.84;92.00;44.00;1027.60;1023.00;25.00;0.00;22.42;3.32
2016;04;21;00;00;13.20;66.42;1021.60;0.00;0.00;46.01;6456.06;9.44;216.56;20.69;4.28;88.00;43.00;1024.80;1017.30;100.00;0.00;16.06;4.35
2016;04;22;00;00;14.94;74.50;1015.83;0.80;0.00;89.52;4005.00;10.49;284.63;17.49;11.31;94.00;65.00;1018.40;1012.10;100.00;4.50;16.62;4.68
2016;04;23;00;00;10.87;88.21;1009.85;8.20;0.00;100.00;2288.19;11.65;298.09;14.47;6.13;96.00;79.00;1014.30;1006.90;100.00;100.00;30.25;0.72
2016;04;24;00;00;5.37;71.38;1015.01;2.80;0.00;66.62;4720.56;13.42;302.71;9.63;0.86;92.00;43.00;1016.80;1012.90;100.00;0.00;19.20;5.04
2016;04;25;00;00;5.16;68.21;1014.65;2.60;0.14;77.92;4717.89;24.16;276.82;9.94;-0.60;89.00;44.00;1018.70;1008.30;100.00;10.00;38.77;11.77
2016;04;26;00;00;6.25;78.42;1006.15;6.30;0.00;96.12;3061.60;25.93;277.93;7.79;3.97;89.00;69.00;1007.80;1005.20;100.00;20.00;39.66;2.19
2016;04;27;00;00;4.61;68.75;1011.79;1.20;0.00;53.12;5956.77;25.89;261.81;8.08;1.34;89.00;49.00;1015.50;1006.80;100.00;0.00;40.19;14.28
2016;04;28;00;00;7.19;54.92;1015.29;0.10;0.00;34.46;5443.24;7.39;240.05;11.78;2.01;71.00;44.00;1017.00;1014.40;100.00;0.00;17.50;0.80
